avg_pkt_size,pkt_count,flow_duration_sec,bytes_per_sec,dst_port,protocol_tcp,protocol_udp,has_sni,inter_arrival_mean,inter_arrival_std,pkt_size_std,label
245.5,2,0.001,491000.0,20,1,0,0,0.5,0.08,78.35,NORMAL
11.23,13,0.001,146000.0,34764,0,1,0,0.08,0.01,2.56,NORMAL
0.0,123,0.001,0.0,54652,1,0,0,0.01,0.0,0.0,DOS_ATTACK
1677.0,5,0.001,8385000.0,80,1,0,0,0.2,0.07,329.68,NORMAL
20.63,30,0.001,619000.0,80,1,0,0,0.03,0.0,4.24,NORMAL
0.0,121,0.001,0.0,41082,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,166,0.001,0.0,13735,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,117,0.001,0.0,51067,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,270,0.001,0.0,41628,1,0,0,0.0,0.0,0.0,DOS_ATTACK
0.0,133,0.001,0.0,59645,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,205,0.001,0.0,40989,1,0,0,0.0,0.0,0.0,DOS_ATTACK
0.0,199,0.001,0.0,21640,1,0,0,0.01,0.0,0.0,DOS_ATTACK
846.0,3,0.001,2538000.0,80,1,0,0,0.33,0.06,185.44,NORMAL
167.0,2,0.001,334000.0,20,1,0,0,0.5,0.09,26.72,MALWARE_C2
0.0,233,0.001,0.0,6743,1,0,0,0.0,0.0,0.0,DOS_ATTACK
0.0,96,0.001,0.0,19806,1,0,0,0.01,0.0,0.0,DOS_ATTACK
1761.0,8,0.001,14088000.0,80,1,0,0,0.12,0.04,178.6,NORMAL
18.0,1,0.001,18000.0,51188,0,0,0,1.0,0.35,4.9,PORT_SCAN
283.0,3,0.001,849000.0,80,1,0,0,0.33,0.06,95.09,NORMAL
169.0,9,0.001,1521000.0,80,1,0,0,0.11,0.04,8.63,NORMAL
0.0,223,0.001,0.0,8795,1,0,0,0.0,0.0,0.0,DOS_ATTACK
0.0,280,0.001,0.0,37392,1,0,0,0.0,0.0,0.0,DOS_ATTACK
1519.75,8,0.001,12158000.0,80,1,0,0,0.12,0.03,135.46,NORMAL
252.0,1,5607.0,0.04,39995,0,1,0,5607000.0,1970228.54,37.05,NORMAL
0.0,248,0.001,0.0,21891,1,0,0,0.0,0.0,0.0,DOS_ATTACK
14858.0,1,507.0,29.31,23,1,0,0,507000.0,138560.23,1042.16,NORMAL
0.0,279,0.001,0.0,7809,1,0,0,0.0,0.0,0.0,DOS_ATTACK
1363.0,5,0.001,6815000.0,80,1,0,0,0.2,0.02,208.83,NORMAL
765.29,14,0.001,10714000.0,80,1,0,0,0.07,0.0,120.54,NORMAL
49.73,33,0.001,1641000.0,80,1,0,0,0.03,0.01,14.8,NORMAL
8.0,1,0.001,8000.0,39027,0,0,0,1.0,0.19,1.95,PORT_SCAN
0.0,57,0.001,0.0,79,1,0,0,0.02,0.0,0.0,DOS_ATTACK
95.33,9,0.001,858000.0,80,1,0,0,0.11,0.04,11.56,NORMAL
0.0,2,0.001,0.0,34547,1,0,0,0.5,0.08,0.0,PORT_SCAN
0.5,181,0.001,90000.0,62293,0,1,0,0.01,0.0,0.13,NORMAL
126.0,2,1.0,252.0,45911,0,1,0,500.0,107.52,41.59,NORMAL
0.7,122,0.001,86000.0,54369,0,1,0,0.01,0.0,0.07,NORMAL
0.0,205,0.001,0.0,12622,1,0,0,0.0,0.0,0.0,DOS_ATTACK
119.36,22,0.001,2626000.0,80,1,0,0,0.05,0.01,29.1,NORMAL
0.0,228,0.001,0.0,16516,1,0,0,0.0,0.0,0.0,DOS_ATTACK
