avg_pkt_size,pkt_count,flow_duration_sec,bytes_per_sec,dst_port,protocol_tcp,protocol_udp,has_sni,inter_arrival_mean,inter_arrival_std,pkt_size_std,label
1343.76,20,0.0591,454956.29,80,0,0,0,649.42,152.8,206.51,NORMAL
819.37,84,0.5068,135804.72,443,0,1,1,571.27,24.49,274.56,NORMAL
1377.68,124,3.7197,45927.02,8080,0,1,0,206.86,6.17,49.07,NORMAL
1147.88,59,0.3983,170024.0,8443,1,0,0,495.17,113.24,315.28,NORMAL
1377.68,125,4.2159,40848.18,443,0,0,1,267.79,61.39,64.9,NORMAL
666.71,144,1.5402,62331.63,80,0,1,0,232.98,43.4,196.37,NORMAL
1157.63,86,1.4841,67081.04,8080,1,0,0,445.13,79.03,188.73,NORMAL
850.04,114,0.2125,456022.12,80,0,0,0,277.55,9.19,84.77,NORMAL
1250.11,130,0.5062,321042.24,8080,1,0,0,149.5,43.06,284.42,NORMAL
1255.29,15,0.067,281170.83,8443,0,0,0,786.53,114.64,216.34,NORMAL
956.47,93,0.2961,300409.17,8443,0,0,0,38.69,3.62,194.84,NORMAL
461.68,148,0.2049,333491.6,8443,0,1,0,596.6,75.42,15.56,NORMAL
1082.51,119,0.315,408969.54,8443,1,0,0,447.04,77.61,331.77,NORMAL
372.07,162,0.1856,324671.81,80,0,1,0,374.7,19.06,69.98,NORMAL
490.13,151,0.2479,298565.03,8080,0,1,0,448.93,121.83,128.75,NORMAL
364.5,138,0.1092,460817.51,8080,0,0,0,367.83,30.31,12.59,NORMAL
1280.3,105,0.9658,139195.69,80,1,0,0,667.04,139.07,192.73,NORMAL
568.82,125,0.7226,98402.98,8443,0,0,0,517.33,29.57,34.77,NORMAL
988.74,45,0.5811,76566.07,8443,0,0,0,533.81,116.78,272.41,NORMAL
267.7,6,0.0075,214430.64,8443,0,0,0,537.59,148.59,38.17,NORMAL
485.43,185,0.293,306518.4,8080,1,0,0,647.83,181.35,77.11,NORMAL
422.11,44,0.058,319971.85,443,0,0,1,442.32,126.53,108.05,NORMAL
1125.88,41,0.0933,494885.58,443,0,0,1,249.9,26.76,83.06,NORMAL
813.91,103,0.2501,335256.69,443,1,1,1,652.16,188.15,219.72,NORMAL
259.32,44,0.0629,181269.3,8443,1,0,0,169.73,45.01,88.21,NORMAL
745.8,142,9.2724,11421.28,8443,1,1,0,449.74,87.6,148.75,NORMAL
566.31,41,0.053,437707.8,8443,0,1,0,756.04,71.16,82.95,NORMAL
327.07,33,0.0233,463253.34,8443,0,0,0,224.51,63.77,30.49,NORMAL
495.35,115,0.6437,88497.18,80,1,0,0,225.97,33.85,121.3,NORMAL
415.51,115,4.316,11071.33,8443,0,1,0,503.58,109.14,124.31,NORMAL
750.71,167,0.2726,459814.1,443,0,0,1,75.16,7.68,147.54,NORMAL
320.7,117,1.4659,25595.65,8080,1,1,0,497.49,40.35,6.83,NORMAL
889.66,199,7.0556,25092.49,8080,1,1,0,642.74,131.55,254.14,NORMAL
597.6,116,0.2684,258307.39,443,0,0,1,314.02,38.92,132.68,NORMAL
229.71,142,0.2082,156653.6,8080,0,0,0,301.86,46.92,31.23,NORMAL
385.22,138,0.226,235185.38,8080,1,1,0,602.45,94.42,85.78,NORMAL
1215.2,185,0.6886,326497.37,8443,0,0,0,128.78,20.56,225.7,NORMAL
822.15,109,0.2934,305403.74,8443,1,1,0,730.65,206.53,246.04,NORMAL
1011.15,60,0.1527,397299.32,443,0,1,1,721.07,35.42,180.22,NORMAL
722.3,181,0.5293,247021.66,443,1,0,1,502.29,127.13,167.24,NORMAL
711.37,33,0.1589,147764.57,443,0,0,1,591.45,133.89,152.88,NORMAL
316.58,78,0.3226,76551.19,80,0,1,0,435.66,123.38,71.05,NORMAL
827.06,183,0.4432,341530.37,8443,1,0,0,129.97,8.58,235.67,NORMAL
273.87,79,0.068,318216.89,8080,1,0,0,506.3,33.48,69.66,NORMAL
336.36,150,0.1246,404948.37,8443,1,1,0,340.14,66.67,106.37,NORMAL
256.76,89,0.1447,157933.71,8443,0,1,0,375.03,53.57,12.39,NORMAL
734.55,87,0.2197,290912.85,8080,0,1,0,426.96,68.88,223.97,NORMAL
1260.72,183,9.034,25538.34,80,1,0,0,237.23,23.92,269.87,NORMAL
506.57,101,0.3666,139568.38,80,1,1,0,69.75,19.23,99.11,NORMAL
1311.62,151,3.8235,51798.62,443,0,0,1,283.23,72.18,411.72,NORMAL
600.9,87,0.1098,476141.49,443,1,0,1,170.48,31.09,29.22,NORMAL
444.0,57,0.0565,448316.16,8080,1,1,0,314.63,89.53,18.61,NORMAL
355.81,28,0.0296,336327.33,443,1,0,1,526.36,87.2,41.86,NORMAL
1342.06,110,0.4598,321098.33,443,1,0,1,60.1,6.63,389.55,NORMAL
377.21,16,0.0165,366393.1,8080,0,0,0,401.87,53.11,27.97,NORMAL
1239.17,29,0.1078,333433.31,8080,1,1,0,128.69,13.59,211.6,NORMAL
774.55,110,0.3864,220472.88,8443,0,1,0,222.03,21.7,102.45,NORMAL
1043.72,92,0.2299,417587.48,8443,1,0,0,586.79,24.58,53.03,NORMAL
676.18,36,0.1356,179525.11,8080,1,1,0,698.13,106.14,231.08,NORMAL
1140.47,95,0.5109,212080.21,8080,1,0,0,240.59,15.07,82.96,NORMAL
1292.04,162,1.7797,117608.71,443,1,1,1,684.81,58.03,152.66,NORMAL
740.0,7,0.0234,221794.49,8443,1,1,0,481.21,43.09,215.89,NORMAL
1054.94,124,0.2953,442980.55,8080,1,0,0,360.83,25.4,310.72,NORMAL
944.46,35,0.3919,84352.35,443,0,0,1,699.23,147.36,146.73,NORMAL
1048.3,45,0.3841,122822.23,8443,0,1,0,60.06,8.21,126.75,NORMAL
1238.24,47,0.4541,128166.66,8080,1,1,0,549.72,141.41,206.33,NORMAL
700.54,10,0.0164,427532.91,8443,0,1,0,608.19,23.42,30.09,NORMAL
687.22,18,0.0275,450072.77,443,0,1,1,235.05,33.4,189.27,NORMAL
1166.21,139,0.5258,308289.31,8080,1,0,0,583.15,163.96,146.59,NORMAL
322.83,200,0.3109,207666.37,8443,0,1,0,176.99,19.19,97.47,NORMAL
216.42,184,0.2318,171799.25,443,0,1,1,498.97,84.31,58.71,NORMAL
834.76,168,1.0539,133063.99,8443,1,1,0,765.58,125.49,67.39,NORMAL
993.83,77,0.1532,499612.13,443,1,1,1,681.1,20.77,340.3,NORMAL
311.33,91,0.068,416400.35,80,1,1,0,273.7,25.54,61.38,NORMAL
993.03,152,0.8338,181028.66,443,0,0,1,573.21,167.59,299.45,NORMAL
585.37,35,0.1433,143010.5,443,1,1,1,375.85,88.65,13.94,NORMAL
393.65,186,0.1465,499764.8,8080,1,0,0,42.31,1.11,12.87,NORMAL
1178.88,152,0.4559,393031.73,8080,1,0,0,376.57,27.16,64.09,NORMAL
664.66,60,0.2235,178418.64,80,1,1,0,310.17,55.79,110.91,NORMAL
1381.44,18,0.0504,493671.66,443,1,1,1,59.06,1.46,353.33,NORMAL
517.9,70,0.1016,356724.04,443,0,0,1,238.26,22.5,160.42,NORMAL
1272.89,169,0.6032,356602.4,443,0,0,1,231.17,55.63,399.26,NORMAL
806.98,150,1.8559,65221.87,443,0,0,1,176.71,28.22,259.55,NORMAL
548.62,153,0.187,448877.87,80,0,0,0,76.24,13.77,176.02,NORMAL
366.05,157,0.2259,254368.27,8443,1,0,0,677.25,60.14,18.7,NORMAL
1008.05,126,0.379,335117.43,8080,0,0,0,639.51,42.12,241.93,NORMAL
940.81,29,1.8301,14907.84,8443,0,1,0,281.73,56.29,187.25,NORMAL
1131.08,117,0.4892,270537.12,80,0,0,0,261.74,62.89,152.96,NORMAL
424.24,28,0.0261,455855.54,8080,0,0,0,616.52,99.39,87.66,NORMAL
656.04,75,0.4591,107181.66,80,0,1,0,239.63,36.97,179.64,NORMAL
530.19,179,0.4941,192073.12,443,0,0,1,598.3,36.58,40.98,NORMAL
