avg_pkt_size,pkt_count,flow_duration_sec,bytes_per_sec,dst_port,protocol_tcp,protocol_udp,has_sni,inter_arrival_mean,inter_arrival_std,pkt_size_std,label
0.0,229,0.001,0.0,56313,1,0,0,0.0,0.0,0.0,DOS_ATTACK
0.0,136,0.001,0.0,22474,1,0,0,0.01,0.0,0.0,DOS_ATTACK
12983.0,1,2.0,6491.5,20,1,0,0,2000.0,146.81,1265.23,NORMAL
20.0,1,0.001,20000.0,48436,0,0,0,1.0,0.28,1.24,PORT_SCAN
15.0,1,1.0,15.0,23,1,0,0,1000.0,256.53,4.83,PORT_SCAN
3695.5,4,0.001,14782000.0,80,1,0,0,0.25,0.05,1005.48,NORMAL
1409.0,1,0.001,1409000.0,25,1,0,0,1.0,0.31,145.67,NORMAL
303.0,1,0.001,303000.0,23,1,0,0,1.0,0.06,91.32,MALWARE_C2
24.06,33,0.001,794000.0,80,1,0,0,0.03,0.01,4.62,NORMAL
183.0,1,0.001,183000.0,21,1,0,0,1.0,0.14,29.33,MALWARE_C2
0.0,1,0.001,0.0,23,1,0,0,1.0,0.1,0.0,PORT_SCAN
946.0,1,0.001,946000.0,25,1,0,0,1.0,0.27,122.34,NORMAL
0.0,111,0.001,0.0,41360,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,120,0.001,0.0,23,1,0,0,0.01,0.0,0.0,DOS_ATTACK
364973.0,1,37.0,9864.14,23,1,0,0,37000.0,3014.92,103813.16,NORMAL
495.0,8,0.001,3960000.0,80,1,0,0,0.12,0.04,137.62,NORMAL
36.33,24,0.001,872000.0,80,1,0,0,0.04,0.0,3.97,NORMAL
146.0,16,0.001,2336000.0,80,1,0,0,0.06,0.02,21.61,NORMAL
0.18,505,0.001,89000.0,52904,0,1,0,0.0,0.0,0.01,NORMAL
0.0,204,0.001,0.0,22804,1,0,0,0.0,0.0,0.0,DOS_ATTACK
0.0,118,0.001,0.0,51249,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,1,0.001,0.0,52157,1,0,0,1.0,0.16,0.0,PORT_SCAN
118.76,17,0.001,2019000.0,80,1,0,0,0.06,0.02,35.33,NORMAL
123.12,17,0.001,2093000.0,80,1,0,0,0.06,0.0,8.68,NORMAL
0.0,116,0.001,0.0,22404,1,0,0,0.01,0.0,0.0,DOS_ATTACK
0.0,273,0.001,0.0,5400,1,0,0,0.0,0.0,0.0,DOS_ATTACK
306.18,22,0.001,6736000.0,80,1,0,0,0.05,0.0,29.01,NORMAL
105.71,7,0.001,740000.0,80,1,0,0,0.14,0.02,24.53,NORMAL
1.02,511,0.001,520000.0,52379,0,0,0,0.0,0.0,0.16,DOS_ATTACK
0.21,511,0.001,105000.0,27260,0,1,0,0.0,0.0,0.04,NORMAL
6412.08,12,805.0,95.58,80,1,0,0,67083.33,26022.13,944.29,DOS_ATTACK
1001.0,1,0.001,1001000.0,25,1,0,0,1.0,0.39,207.53,NORMAL
1339.67,15,0.001,20095000.0,80,1,0,0,0.07,0.01,439.13,NORMAL
0.05,40,0.001,2000.0,35599,0,1,0,0.03,0.0,0.02,NORMAL
0.0,483,0.001,0.0,23022,1,0,0,0.0,0.0,0.0,PORT_SCAN
22.0,2,0.001,44000.0,12395,1,0,0,0.5,0.18,7.22,PORT_SCAN
