avg_pkt_size,pkt_count,flow_duration_sec,bytes_per_sec,dst_port,protocol_tcp,protocol_udp,has_sni,inter_arrival_mean,inter_arrival_std,pkt_size_std,label,weight
383.83,6,0.3783,6087.79,443,1,0,0,75.66,142.32,587.23,NORMAL,1.0
542.67,3,0.001,1628000.0,62255,1,0,0,0.11,0.02,841.2,P2P_TRAFFIC,2.0
445.68,28,5.144,2425.95,443,1,0,1,190.52,389.42,597.33,NORMAL,1.0
78,2,0.001,156000.0,64715,1,0,0,0.0,0.0,25.46,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,49677,1,0,0,0.0,0.0,0.0,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,64713,1,0,0,0.11,0.0,0.0,P2P_TRAFFIC,2.0
331.32,25,0.1883,43978.51,443,1,0,1,7.85,18.75,486.08,NORMAL,1.0
66,2,0.001,132000.0,64717,1,0,0,0.05,0.0,16.97,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,64718,1,0,0,0.0,0.0,0.0,P2P_TRAFFIC,2.0
56.8,5,90.6298,3.13,443,1,0,0,22657.45,25807.3,2.95,NORMAL,1.0
60,2,0.001,120000.0,64714,1,0,0,0.0,0.0,0.0,P2P_TRAFFIC,2.0
64.5,4,0.001,258000.0,60209,1,0,0,0.02,0.03,9.0,P2P_TRAFFIC,2.0
66,3,0.001,198000.0,60208,1,0,0,0.0,0.0,10.39,P2P_TRAFFIC,2.0
66,3,0.001,198000.0,60205,1,0,0,0.0,0.0,10.39,P2P_TRAFFIC,2.0
69,2,0.001,138000.0,60211,1,0,0,0.0,0.0,12.73,P2P_TRAFFIC,2.0
69,2,0.001,138000.0,60207,1,0,0,0.0,0.0,12.73,P2P_TRAFFIC,2.0
54,2,0.001,108000.0,443,1,0,0,0.27,0.0,0.0,NORMAL,1.0
230.11,28,7.0502,913.87,443,1,0,1,261.12,427.66,342.0,NORMAL,1.0
60,2,0.001,120000.0,64711,1,0,0,0.0,0.0,0.0,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,60215,1,0,0,0.06,0.0,0.0,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,60221,1,0,0,0.91,0.0,0.0,P2P_TRAFFIC,2.0
1061.8,5,0.0014,3833213.0,53847,1,0,0,0.35,0.42,1905.57,P2P_TRAFFIC,2.0
542.67,3,0.001,1628000.0,60650,1,0,0,0.42,0.47,841.2,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,60220,1,0,0,0.04,0.0,0.0,P2P_TRAFFIC,2.0
66,2,0.001,132000.0,57482,1,0,0,0.05,0.0,16.97,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,57477,1,0,0,0.08,0.0,0.0,P2P_TRAFFIC,2.0
60,2,0.001,120000.0,57485,1,0,0,0.06,0.0,0.0,P2P_TRAFFIC,2.0
55.75,4,84.2352,2.65,443,1,0,0,28078.4,24237.41,2.87,NORMAL,1.0
422,4,0.001,1688000.0,58626,1,0,0,0.19,0.16,728.01,P2P_TRAFFIC,2.0
542.67,3,0.001,1628000.0,65181,1,0,0,0.24,0.19,841.2,P2P_TRAFFIC,2.0
1245,3,0.0074,504661.53,65181,1,0,0,3.7,3.72,1531.27,P2P_TRAFFIC,2.0
66,2,0.001,132000.0,51762,1,0,0,0.1,0.0,16.97,P2P_TRAFFIC,2.0
69.5,2,0.001,139000.0,60365,1,0,0,0.1,0.0,21.92,P2P_TRAFFIC,2.0
69.5,2,0.001,139000.0,50708,1,0,0,0.09,0.0,21.92,P2P_TRAFFIC,2.0
66,2,0.001,132000.0,64821,1,0,0,0.05,0.0,16.97,P2P_TRAFFIC,2.0
528,3,0.0026,618508.4,51545,1,0,0,1.28,1.53,815.8,P2P_TRAFFIC,2.0
528,3,0.0021,766698.94,54538,1,0,0,1.03,1.34,815.8,P2P_TRAFFIC,2.0
787,4,0.001,3148000.0,51433,1,0,0,0.1,0.1,1458.0,P2P_TRAFFIC,2.0
